Year,Make,Model,Trim,Body,Transmission,Vehicle Identification Number,Odometer,Seller,Market Price,Selling Price,Sale Date,State
2004,Ford,Explorer,Limited,SUV,Automatic,1fmzu65k54ua59709,171116,Barnett Finance Company,2500,1700,2015-02-17,Georgia
2013,Chevrolet,Impala,LS Fleet,sedan,Automatic,2g1wf5e3xd1160771,57634,The Hertz Corporation,8925,8900,2015-06-16,California
2014,Dodge,Grand Caravan,SXT,Minivan,Automatic,2c4rdgcg2er173190,37928,Avis Corporation,16200,16200,2015-02-12,South Carolina
2007,Ford,F-150,XLT,supercab,Automatic,1ftpx14557fa02257,108246,Tdaf Remarketing,10300,11000,2015-06-16,Florida
2011,Hyundai,Elantra,GLS PZEV,Sedan,Automatic,5npdh4aexbh018071,69185,Wholesale Inc # 2,9575,10300,2015-01-21,Tennessee
2012,Nissan,Leaf,SL,Hatchback,Automatic,jn1az0cp2ct018461,23801,Nissan Motor Acceptance Corporation,10600,11100,2015-02-25,California
2010,Dodge,Avenger,SXT,Sedan,Automatic,1b3cc4fb2an189535,110704,Exeter Finance Corp,5100,5600,2015-02-10,Tennessee
2004,Buick,LeSabre,Custom,Sedan,Automatic,1g4hp52k044157533,90061,Park Fcu,3475,1600,2015-01-15,Indiana
2012,Dodge,Durango,R/T,SUV,Automatic,1c4sdjet8cc153184,52982,Wells Fargo Dealer Services,26800,25000,2015-06-03,New Jersey
2012,Honda,Accord,LX,Sedan,Automatic,1hgcp2f36ca167629,35478,Ahfc/Honda Lease Trust/Hvt  Inc. Eot,11850,12300,2015-05-22,Nevada
1997,Ford,Taurus,LX,Sedan,Automatic,1falp53s9va141921,126806,Hertz Remarketing,600,500,2015-01-16,Pennsylvania
2013,Chevrolet,Impala,LTZ,Sedan,Automatic,2g1wc5e37d1220336,38620,Enterprise Veh Exchange/Rental,12850,12600,2014-12-22,Florida
2006,Volvo,XC90,V8SUV,,Automatic,yv4cz852061231136,86314,Hoehn Buick Gmc Cadillac,7700,10100,2015-02-11,California
2013,Honda,Odyssey,LX,Minivan,Automatic,5fnrl5h24db090102,39080,Avis Corporation,17600,18000,2015-02-18,Minnesota
2003,Ford,Expedition,Eddie Bauer,SUV,Automatic,1fmfu18l13la44879,158900,Credit Acceptance Corp/Vrs/Southfield,3575,3200,2015-02-25,Wisconsin
2005,Subaru,Outback,2.5 XT,Wagon,Manual,4s4bp68c756375440,150372,Richmond Car & Truck Sales,3450,4200,2015-03-04,Virginia
2006,Chrysler,300,C,Sedan,Automatic,2c3ka63h16h440943,51751,Remarketing By Ge/Comm Financial Members Fcu,10450,9500,2015-03-05,Michigan
2014,Buick,Enclave,Premium Group,SUV,Automatic,5gakvckd9ej225953,25352,Gm Remarketing,35200,33700,2015-02-19,Illinois
2013,Dodge,Grand Caravan,SXT,Minivan,Automatic,2c4rdgcg3dr685071,62006,The Hertz Corporation,11600,11700,2015-05-20,California
2008,Ford,Edge,SEL,SUV,Automatic,2fmdk38c78ba98865,107185,Santander Consumer,8200,7200,2015-01-08,Michigan
1998,Nissan,Maxima,SE,Sedan,Automatic,jn1ca21d6wm926088,314035,Coggin Nissan At The Avenues,701,950,2014-12-18,Florida
2005,Mercury,Grand Marquis,LS Ultimate,Sedan,Automatic,2mehm75w15x605620,37748,A L Financial Corporation,6675,4800,2015-01-20,Arizona
2009,Chevrolet,Impala,LS,Sedan,Automatic,2g1wb57k191254075,105033,Lease Plan Usa,5475,5300,2015-01-28,Louisiana
2006,Volkswagen,Passat,2.0T,sedan,Automatic,wvwak93c96p180765,129371,Mazda And Volkswagon Of Fredericksburg,3025,3500,2015-05-28,Virginia
2012,Honda,Accord,LX,Sedan,Automatic,1hgcp2f34ca246734,40131,Ahfc/Honda Lease Trust/Hvt  Inc.,11850,11800,2015-02-12,California
2013,Infiniti,G Sedan,G37x,G Sedan,Automatic,jn1cv6ar8dm754991,49601,The Hertz Corporation,20400,20601,2014-12-23,Ohio
2014,Nissan,Xterra,Pro-4X,SUV,Automatic,5n1an0nwxen800541,35319,Avis Corporation,18800,18600,2015-05-21,Michigan
2012,Dodge,Grand Caravan,American Value Package,Minivan,Automatic,2c4rdgbg2cr218448,84510,Merchants Automotive Group,8475,8000,2015-01-20,Massachusetts
2002,BMW,X5,4.4i,SUV,Automatic,5uxfb33582lh37401,125475,Patrick European Llc,4025,5300,2014-12-31,Wisconsin
2007,Hyundai,Veracruz,Limited,SUV,Automatic,km8nu13c07u022178,97288,Sullivan Auto Group Llc,8625,9600,2015-01-15,Ohio
2014,Ford,E-Series Wagon,E-350 Super Duty XLT,Van,Automatic,1fbne3blxeda08143,22732,Ford Motor Credit Company,19300,19200,2015-02-11,Colorado
2009,Honda,Odyssey,EX,Minivan,Automatic,5fnrl38439b058836,75687,Ahfc/Honda Lease Trust/Hvt  Inc.,10250,9700,2015-01-14,New Jersey
2014,Ford,Explorer,Limited,SUV,Automatic,1fm5k8f8xegb11760,36374,Ars/Avis Budget Group,25600,25400,2015-05-27,Minnesota
2011,BMW,3 Series,328i,Sedan,Automatic,wbaph5c54bf093310,29639,Financial Services Remarketing (Lease),19050,17900,2015-02-12,California
2012,Ford,Fusion,S,Sedan,Automatic,3fahp0ga5cr340378,79132,Lease Plan Usa,7975,8800,2015-02-18,Pennsylvania
2013,Honda,Civic,LX,Sedan,Automatic,19xfb2f53de240787,14379,Ahfc/Honda Lease Trust/Hvt  Inc.,13650,14900,2015-01-29,California
2007,Chevrolet,Silverado 1500,Work Truck,Extended Cab,Automatic,1gcek19c97z644265,155150,Kevins Marysville Auto Sales Inc,6725,8100,2015-05-21,Michigan
2014,Ford,Fusion,SE,Sedan,Automatic,3fa6p0hd0er276866,36203,Enterprise Veh Exchange/Rental,15150,15800,2015-03-10,North Carolina
2005,Subaru,Legacy,2.5 GT Limited,Sedan,Automatic,4s3bl676654219803,130280,Mcmb Financial,4675,4300,2015-02-19,Virginia
1998,Chevrolet,Malibu,LS,Sedan,Automatic,1g1ne52m7wy135130,166681,Autonation Honda Hollywood,600,600,2015-01-20,Florida
2014,GMC,Terrain,SLT-2,SUV,Automatic,2gkflye35e6271285,15841,Gm Remarketing,28100,25900,2015-03-05,Michigan
2011,Toyota,Camry,Base,Sedan,Automatic,4t1bf3ek1bu592454,89766,World Omni Financial Corporation,9525,9500,2015-01-27,Florida
2004,Acura,MDX,Base,suv,Automatic,2hnyd18214h542559,161249,Boch New To You Superstore,3400,3900,2015-06-18,Massachusetts
2006,Acura,TL,Base,Sedan,Automatic,19uua66296a022092,217462,Lexus Of Bellevue,3025,3300,2015-01-07,Washington
2015,Nissan,Altima,2.5 S,Sedan,Automatic,1n4al3ap2fn315814,18181,Enterprise Veh Exchange/Rental,16050,16600,2015-02-19,California
