timestamp,vehicle_id,dtc_code,description,severity
2025-10-01 08:00:00,VEH004,P0135,O2 Sensor Heater Circuit,Medium
2025-10-01 08:00:02,VEH003,P0128,Coolant Thermostat Malfunction,Low
2025-10-01 08:00:08,VEH004,P0135,O2 Sensor Heater Circuit,Medium
2025-10-01 08:00:14,VEH003,P0171,System Too Lean,Medium
2025-10-01 08:00:16,VEH001,P0301,Cylinder 1 Misfire Detected,High
2025-10-01 08:00:38,VEH002,P0171,System Too Lean,Medium
2025-10-01 08:00:47,VEH004,P0301,Cylinder 1 Misfire Detected,High
2025-10-01 08:00:55,VEH002,P0420,Catalyst System Efficiency Below Threshold,Low
2025-10-01 08:01:00,VEH004,P0171,System Too Lean,Medium
2025-10-01 08:01:02,VEH004,P0301,Cylinder 1 Misfire Detected,High
2025-10-01 08:01:04,VEH001,P0301,Cylinder 1 Misfire Detected,High
2025-10-01 08:01:12,VEH001,P0301,Cylinder 1 Misfire Detected,High
2025-10-01 08:01:23,VEH004,P0301,Cylinder 1 Misfire Detected,High
2025-10-01 08:01:27,VEH002,P0171,System Too Lean,Medium
2025-10-01 08:01:52,VEH001,P0128,Coolant Thermostat Malfunction,Low
2025-10-01 08:01:54,VEH003,P0420,Catalyst System Efficiency Below Threshold,Low
2025-10-01 08:01:58,VEH002,P0171,System Too Lean,Medium
2025-10-01 08:02:02,VEH003,P0135,O2 Sensor Heater Circuit,Medium
2025-10-01 08:02:31,VEH002,P0301,Cylinder 1 Misfire Detected,High
2025-10-01 08:02:34,VEH001,P0128,Coolant Thermostat Malfunction,Low
2025-10-01 08:02:39,VEH003,P0135,O2 Sensor Heater Circuit,Medium
2025-10-01 08:03:03,VEH004,P0301,Cylinder 1 Misfire Detected,High
2025-10-01 08:03:10,VEH004,P0135,O2 Sensor Heater Circuit,Medium
2025-10-01 08:03:11,VEH004,P0135,O2 Sensor Heater Circuit,Medium
2025-10-01 08:03:18,VEH001,P0420,Catalyst System Efficiency Below Threshold,Low
2025-10-01 08:03:24,VEH004,P0135,O2 Sensor Heater Circuit,Medium
2025-10-01 08:03:31,VEH001,P0171,System Too Lean,Medium
2025-10-01 08:03:32,VEH001,P0128,Coolant Thermostat Malfunction,Low
2025-10-01 08:03:34,VEH003,P0128,Coolant Thermostat Malfunction,Low
2025-10-01 08:03:52,VEH001,P0171,System Too Lean,Medium
2025-10-01 08:04:03,VEH003,P0128,Coolant Thermostat Malfunction,Low
2025-10-01 08:04:15,VEH001,P0301,Cylinder 1 Misfire Detected,High
2025-10-01 08:04:21,VEH003,P0301,Cylinder 1 Misfire Detected,High
2025-10-01 08:04:43,VEH002,P0128,Coolant Thermostat Malfunction,Low
2025-10-01 08:04:54,VEH003,P0420,Catalyst System Efficiency Below Threshold,Low
2025-10-01 08:04:57,VEH003,P0128,Coolant Thermostat Malfunction,Low
2025-10-01 08:05:00,VEH002,P0128,Coolant Thermostat Malfunction,Low
2025-10-01 08:05:25,VEH004,P0135,O2 Sensor Heater Circuit,Medium
2025-10-01 08:05:27,VEH001,P0420,Catalyst System Efficiency Below Threshold,Low
2025-10-01 08:05:35,VEH003,P0135,O2 Sensor Heater Circuit,Medium
2025-10-01 08:05:48,VEH001,P0420,Catalyst System Efficiency Below Threshold,Low
2025-10-01 08:06:15,VEH002,P0420,Catalyst System Efficiency Below Threshold,Low
2025-10-01 08:06:35,VEH004,P0128,Coolant Thermostat Malfunction,Low
2025-10-01 08:06:39,VEH002,P0128,Coolant Thermostat Malfunction,Low
2025-10-01 08:06:42,VEH002,P0135,O2 Sensor Heater Circuit,Medium
2025-10-01 08:06:47,VEH004,P0171,System Too Lean,Medium
2025-10-01 08:07:05,VEH004,P0301,Cylinder 1 Misfire Detected,High
2025-10-01 08:07:07,VEH001,P0135,O2 Sensor Heater Circuit,Medium
2025-10-01 08:07:08,VEH002,P0171,System Too Lean,Medium
2025-10-01 08:07:10,VEH004,P0128,Coolant Thermostat Malfunction,Low
2025-10-01 08:07:11,VEH003,P0128,Coolant Thermostat Malfunction,Low
2025-10-01 08:07:31,VEH001,P0420,Catalyst System Efficiency Below Threshold,Low
