date,region,store,category,product,sales,quantity,discount
2025-01-01,North,Store_A,Electronics,Laptop,120000,15,10
2025-01-01,North,Store_A,Clothing,Shirt,35000,70,5
2025-01-01,South,Store_B,Electronics,Smartphone,95000,25,12
2025-01-02,East,Store_C,Furniture,Chair,22000,40,8
2025-01-02,West,Store_D,Clothing,Jeans,48000,60,7
2025-01-03,North,Store_A,Electronics,Tablet,55000,20,9
2025-01-03,South,Store_B,Furniture,Table,32000,15,10
2025-01-03,East,Store_C,Electronics,Smartwatch,40000,18,6
2025-01-04,West,Store_D,Clothing,T-Shirt,25000,55,5
2025-01-04,North,Store_A,Electronics,Laptop,130000,17,8
2025-01-05,South,Store_B,Furniture,Sofa,88000,8,15
2025-01-05,East,Store_C,Electronics,Headphones,30000,30,10
2025-01-06,West,Store_D,Furniture,Chair,26000,50,6
2025-01-06,North,Store_A,Clothing,Jacket,60000,25,10
2025-01-07,South,Store_B,Electronics,Smartphone,99000,28,12
2025-01-07,East,Store_C,Clothing,Shirt,33000,60,8
2025-01-08,West,Store_D,Furniture,Table,34000,20,9
2025-01-08,North,Store_A,Electronics,Tablet,57000,22,7
2025-01-09,South,Store_B,Furniture,Sofa,92000,10,14
2025-01-09,East,Store_C,Electronics,Smartwatch,45000,20,6
2025-01-10,West,Store_D,Clothing,Jeans,50000,65,5
